                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.2234,                 1.1722,                 1.5963,                0.73951,                0.73564,                0.77816,                0.46339,                 1.4232,                 1.1178,                 1.7509,               0.004555,               0.004555,               0.004555
                    112,                 1.2064,                 1.1499,                 1.5762,                0.73744,                0.73228,                 0.7807,                 0.4645,                 1.4213,                 1.1207,                 1.7408,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2154,                 1.1619,                 1.5801,                0.74742,                0.73843,                0.78542,                0.46349,                  1.436,                 1.1145,                 1.7514,               0.004456,               0.004456,               0.004456
                    114,                 1.2149,                 1.1382,                 1.5799,                0.75135,                0.73946,                0.78335,                0.46375,                 1.4308,                 1.1042,                 1.7455,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2008,                 1.1303,                  1.573,                 0.7365,                 0.7405,                0.78305,                0.46422,                 1.4297,                 1.1012,                 1.7439,               0.004357,               0.004357,               0.004357
                    116,                 1.2096,                 1.1489,                 1.5791,                0.74719,                0.73455,                 0.7788,                0.46565,                 1.4168,                 1.1087,                 1.7368,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.2038,                 1.1508,                 1.5778,                 0.7334,                0.73679,                0.77809,                0.46194,                 1.4319,                 1.0981,                 1.7475,               0.004258,               0.004258,               0.004258
                    118,                 1.1958,                 1.1381,                 1.5671,                0.75638,                0.72643,                0.78184,                0.46461,                 1.4279,                 1.1026,                 1.7486,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1881,                 1.1269,                 1.5595,                0.71815,                0.75671,                0.78419,                0.46424,                 1.4258,                 1.1083,                 1.7478,               0.004159,               0.004159,               0.004159
                    120,                 1.1911,                 1.1138,                 1.5567,                0.73875,                0.74045,                0.78634,                0.46561,                 1.4322,                  1.098,                 1.7465,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1986,                 1.1351,                 1.5688,                0.74458,                 0.7472,                0.78529,                0.46571,                 1.4324,                  1.093,                 1.7475,                0.00406,                0.00406,                0.00406
                    122,                 1.1878,                 1.1129,                 1.5574,                 0.7595,                0.72788,                0.78806,                0.46734,                 1.4264,                 1.0921,                 1.7479,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1834,                 1.1182,                 1.5565,                0.73186,                0.75364,                0.78797,                0.46822,                 1.4218,                 1.0926,                  1.745,               0.003961,               0.003961,               0.003961
                    124,                 1.1767,                 1.1087,                 1.5516,                 0.7372,                0.75158,                0.78676,                0.46927,                 1.4165,                 1.0907,                 1.7349,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1751,                 1.0868,                  1.542,                0.73551,                0.74682,                0.79023,                0.46875,                 1.4232,                 1.0965,                 1.7389,               0.003862,               0.003862,               0.003862
                    126,                 1.1669,                 1.0862,                 1.5412,                0.77214,                0.71429,                0.78461,                0.47131,                 1.4233,                 1.0957,                 1.7374,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1761,                 1.0849,                 1.5475,                0.73673,                0.74668,                0.78843,                0.47247,                 1.4198,                 1.0874,                 1.7363,               0.003763,               0.003763,               0.003763
                    128,                 1.1581,                 1.0844,                 1.5329,                0.74966,                 0.7407,                 0.7918,                0.47275,                 1.4174,                 1.0915,                 1.7334,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1592,                 1.0767,                 1.5355,                0.75857,                0.74478,                0.78988,                0.47333,                 1.4162,                 1.0745,                 1.7378,               0.003664,               0.003664,               0.003664
                    130,                 1.1648,                 1.0698,                 1.5309,                0.73614,                0.75027,                0.78537,                 0.4705,                 1.4259,                 1.0798,                 1.7446,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1432,                 1.0674,                 1.5173,                0.75525,                0.73851,                0.78982,                0.47318,                 1.4267,                 1.0822,                  1.741,               0.003565,               0.003565,               0.003565
                    132,                 1.1527,                 1.0701,                 1.5304,                0.74833,                0.75108,                0.79225,                0.47391,                 1.4214,                 1.0763,                 1.7385,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1498,                 1.0632,                 1.5228,                 0.7539,                0.76214,                0.79366,                0.47302,                 1.4198,                 1.0757,                 1.7427,               0.003466,               0.003466,               0.003466
